Asp,Priority 1
month,Priority
1,202.32372194695424
2,199.2420435446906
3,184.7867437807904
4,179.19147597015217
5,183.2785545295812
6,183.42381567122692
7,183.6215051539617
8,184.5146767001748
9,184.791591316704
