Ted gmv,Priority 5
month,Priority
1,0.2176694958528814
2,0.2855714144547809
3,0.2966319908018725
4,0.2655535512621088
5,0.2501951685789033
6,0.2275262701800327
7,0.2245516092375594
8,0.242339931713978
9,0.2673714854043701
