Tri per order,Priority 5
month,Priority
1,9393.050933344884
2,7799.9308820640435
3,7839.560092218249
4,7606.533596837944
5,7633.039792324728
6,8016.189715079917
7,7826.713961836387
8,7795.076976663182
9,7345.609897504917
