Daily online hours,Priority 5
month,Priority
1,11002.268311111158
2,14757.73469348658
3,12940.1578405018
4,12500.19933333342
5,12823.10146953407
6,11814.179083333356
7,11314.288154121858
8,10075.6531362007
9,9514.370611111126
