B cancel rate,Priority 5
month,Priority
1,0.0818735575649805
2,0.0791333565056192
3,0.0842832570478994
4,0.0786076093993982
5,0.0757551644014387
6,0.082228862717525
7,0.0839106374257019
8,0.0820497178587768
9,0.0681921572195432
