P2c burn per order,Priority 5
month,Priority
1,5212.162934730824
2,4925.839434221728
3,4948.516789735708
4,4741.254194115064
5,4403.408343317721
6,4475.036667620488
7,3920.262610995655
8,4577.089341692789
9,4354.7327880733
