Exposure per eff online,Priority 5
month,Priority
1,302.94704073987964
2,238.162943627328
3,316.93635815388984
4,276.28355557253656
5,284.14904789592265
6,332.24346174057155
7,340.1310049019608
8,284.87813235260523
9,299.0999220733516
