Healthy stores,Priority 5
month,Priority
1,1230.52
2,1677.1724137931035
3,1469.354838709677
4,1417.3666666666666
5,1436.3870967741937
6,1323.9333333333334
7,1274.3225806451612
8,1140.3870967741937
9,1067.9333333333334
