B2c total burn,Old_2_vs_New_1
month,Old priority,New priority
1,126491.37,140968.72
2,67085.3,79285.51
3,86208.28,102592.02
4,88713.79,100263.7
5,108263.09,126155.09
6,106470.09,115983.88
