Daily online hours,Old_2_vs_New_1
month,Old priority,New priority
1,661.9218637992832,907.6983781362006
2,670.8327394636015,975.1704310344842
3,670.2187365591396,1038.9431093189976
4,679.6613425925927,1099.412546296297
5,672.9741935483871,1100.6086290322582
6,665.068037037037,1085.0570370370383
