P2c burn per order,priority_4
month,Old priority,New priority
1,4.5693146825,4.392378790098
2,3.823715856481,3.77146572104
3,3.222255602203,3.00143154607
4,2.947534910379,3.029334806087
5,3.595834423641,3.540424752838
6,3.688363060867,3.55120978121
