P2c gmv,priority_4
month,Old priority,New priority
1,0.10493772,0.10273908
2,0.09138398,0.09555413
3,0.07377055,0.07282473
4,0.06944688,0.0747134
5,0.08478109,0.08316105
6,0.0863398,0.08842316
