R burn per order,Priority 2
month,Priority
1,1394.3431516486205
2,1443.231975691354
3,1179.4930041755183
4,1350.7880485527544
5,1395.1232370258797
6,1296.7424823660438
7,1503.1974816983893
8,1390.0119390448765
9,1349.836711373068
