Exposure per eff online,Priority 2
month,Priority
1,1004.1143191572376
2,990.8892171344164
3,390.4715656447461
4,322.143314011593
5,346.4517499494234
6,374.74394673123487
7,351.6198830409357
8,370.7886608015641
9,361.27450236966826
