P2c burn per order,Priority 2
month,Priority
1,342.1389245733162
2,360.8691875633037
3,356.7493956486704
4,359.609377084167
5,400.049500205395
6,457.9719712906818
7,370.6069692532943
8,356.6564674826014
9,392.4377217778312
