Daily orders,Priority 2
month,Priority
1,1054.645161290323
2,1123.4827586206898
3,440.35483870967744
4,499.8
5,471.1612903225807
6,538.7333333333333
7,550.8064516129032
8,537.6774193548387
9,554.2333333333333
