R burn gmv,Priority 2
month,Priority
1,0.1764909749021058
2,0.1791824472590406
3,0.1430853353309209
4,0.1618649287837872
5,0.1672324279265598
6,0.1579163065167502
7,0.1806061173840896
8,0.1725665301051433
9,0.1678679418677612
