Orders per eff online,Priority 2
month,Priority
1,12.756145142411237
2,12.03138847858198
3,3.1947109758951555
4,2.9970017989206474
5,2.954885696945175
6,3.2610976594027443
7,3.2210903603093755
8,3.258651026392962
9,3.152037914691943
