Tri per order,Priority 2
month,Priority
1,1656.885085948492
2,1624.5713452625764
3,1763.5803970405098
4,1737.9580498866212
5,1714.3291797891277
6,1707.3584333622075
7,1705.9002635431918
8,1662.692344612431
9,1655.936188127744
