Healthy stores,Priority 2
month,Priority
1,103.70967741935485
2,109.86206896551724
3,178.19354838709677
4,215.66666666666663
5,232.9032258064516
6,199.96666666666667
7,217.32258064516128
8,221.4193548387097
9,215.03333333333333
