P2c gmv,Priority 2
month,Priority
1,0.085802683724165
2,0.0768796540715564
3,0.079059175938644
4,0.0705064829147054
5,0.087399453327612
6,0.0848030248250022
7,0.0863500039720095
8,0.0788686120331459
9,0.0754020727297165
