Daily online hours,Priority 2
month,Priority
1,1095.3609318996398
2,1120.4709674329538
3,1642.3765412186383
4,1952.197120370372
5,2186.6680107526868
6,1853.564990740737
7,1992.7616039426475
8,1998.2675896057367
9,1942.828787037038
