Active rs,Priority 2
month,Priority
1,110.4516129032258
2,115.24137931034484
3,152.61290322580646
4,176.73333333333332
5,174.80645161290323
6,176.33333333333334
7,198.3548387096774
8,193.2258064516129
9,189.03333333333333
