B2c per order,Priority 2
month,Priority
1,3.8182638856665583
2,2.7284631454227988
3,2.695075966850829
4,2.3291272344900102
5,1.6618538505491711
6,2.577677941601619
7,2.3206053570660816
8,2.0165980795610423
9,1.7845909606350234
