Asp,Priority 2
month,Priority
1,24.245984177068348
2,24.3175046769768
3,28.50664364640884
4,26.65535028916929
5,26.2534429560028
6,26.171729979762937
7,25.947807300399845
8,26.676280129335684
9,26.814722717209357
