Exposure per eff online,Priority 2
month,Priority
1,1015.3443275518908
2,689.2069264069264
3,304.0167175461549
4,260.0126404494382
5,235.92510769910527
6,291.3022739877981
7,350.2202714481385
8,302.805596285435
9,285.19417602507184
