Daily online hours,Old_3_vs_New_2
month,Old priority,New priority
1,243.3958423,1256.687742
2,237.0759674,1324.318439
3,199.5748029,1238.925332
4,178.3279815,1342.282963
5,205.3878315,1427.969901
