Ted gmv,Old_3_vs_New_2
month,Old priority,New priority
1,0.224300477,0.226453217
2,0.190115302,0.217074641
3,0.159068378,0.214592364
4,0.128504789,0.230480858
5,0.149104944,0.238902482
