B cancel rate,priority_4
month,Old priority,New priority
1,0.02859372828,0.02806801857
2,0.02827039359,0.02780729115
3,0.02974616646,0.02891294307
4,0.02951604926,0.02646328534
5,0.03118064515,0.02910800345
