B2c gmv,priority_4
month,Old priority,New priority
1,0.02751898,0.02213141
2,0.03038327,0.02583147
3,0.02991775,0.02491574
4,0.02025115,0.01173402
5,0.01318786,0.00827142

B2c per order,priority_4
month,Old priority,New priority
1,6.769083786,5.622756435
2,7.596729125,6.686543621
3,7.622567913,6.535294543
4,5.052877779,3.01354948
5,3.334531561,2.154913613

B2c total burn,priority_4
month,Old priority,New priority
1,5998619.9,3920641.23
2,6086696.89,4265861.04
3,6886814.79,4867480.84
4,4234857.29,2098153.69
5,3028521.6,1633889.98

Bad rating rate,priority_4
month,Old priority,New priority
1,0.01820061184,0.01824945754
2,0.01783891187,0.0178219591
3,0.01867452077,0.01873391345
4,0.01799529416,0.01786452947
5,0.01944441386,0.01928078542

B cancel rate,priority_4
month,Old priority,New priority
1,0.02859372828,0.02806801857
2,0.02827039359,0.02780729115
3,0.02974616646,0.02891294307
4,0.02951604926,0.02646328534
5,0.03118064515,0.02910800345

B p1p2,priority_4
month,Old priority,New priority
1,0.008283508827,0.007490487111
2,0.008158244702,0.007395224602
3,0.008255240625,0.007616250612
4,0.008379377916,0.00792660136
5,0.00835198084,0.007902490424

Daily online hours,priority_4
month,Old priority,New priority
1,64439.38407,52115.94637
2,67847.9951,55321.73348
3,68070.05547,55507.84319
4,70935.72881,56843.95634
5,68571.43018,56325.32479

Daily orders,priority_4
month,Old priority,New priority
1,28586.41935,22492.93548
2,27628.48276,21999.2069
3,29144.41935,24025.77419
4,27936.93333,23208.0
5,29297.74194,24458.58065

Exposure uv,priority_4
month,Old priority,New priority
1,116850965,101498873
2,107814491,94519374
3,119727461,106724298
4,109208107,95384764
5,119730040,105115091

Healthy stores,priority_4
month,Old priority,New priority
1,7479.548387,5900.483871
2,7897.965517,6245.62069
3,7909.967742,6274.322581
4,8292.066667,6461.5
5,8056.16129,6438.516129

Imperfect orders,priority_4
month,Old priority,New priority
1,18922.0,14849
2,16880.0,13233
3,19687.0,16128
4,17426.0,14081
5,19649.0,15960

Orders per eff online,priority_4
month,Old priority,New priority
1,3.1892315,3.175839641
2,2.937185423,2.945225147
3,3.102738103,3.227731311
4,2.859617038,3.043698743
5,3.066914749,3.194183019

R burn,priority_4
month,Old priority,New priority
1,21455750.62,17789517.86
2,18789026.67,16216557.07
3,22527319.39,20083763.08
4,21307508.52,20193306.99
5,25317637.39,23045746.27

R burn gmv,priority_4
month,Old priority,New priority
1,0.098429374,0.10041908
2,0.09379013,0.098197633
3,0.097863349,0.102805091
4,0.101892839,0.112932
5,0.110247012,0.116667042

R burn per order,priority_4
month,Old priority,New priority
1,24.21153133,25.51269554
2,23.45034568,25.4187174
3,24.93402642,26.96534646
4,25.42334463,29.00337095
5,27.87579951,30.39469791

Ted,priority_4
month,Old priority,New priority
1,38806916.31,30894419.38
2,32648347.69,26776989.93
3,38415297.62,32516948.92
4,34445461.55,30026210.02
5,37864666.16,32909672.38

Ted gmv,priority_4
month,Old priority,New priority
1,0.178028751,0.174394225
2,0.162972401,0.162145209
3,0.166884023,0.166448283
4,0.164718736,0.167922963
5,0.164883723,0.166602291

Bad rating rate,priority_4
month,Old priority,New priority
1,0.01820061184,0.01824945754
2,0.01783891187,0.0178219591
3,0.01867452077,0.01873391345
4,0.01799529416,0.01786452947
5,0.01944441386,0.01928078542

B cancel rate,priority_4
month,Old priority,New priority
1,0.02859372828,0.02806801857
2,0.02827039359,0.02780729115
3,0.02974616646,0.02891294307
4,0.02951604926,0.02646328534
5,0.03118064515,0.02910800345

B p1p2,priority_4
month,Old priority,New priority
1,0.008283508827,0.007490487111
2,0.008158244702,0.007395224602
3,0.008255240625,0.007616250612
4,0.008379377916,0.00792660136
5,0.00835198084,0.007902490424

Daily online hours,priority_4
month,Old priority,New priority
1,64439.38407,52115.94637
2,67847.9951,55321.73348
3,68070.05547,55507.84319
4,70935.72881,56843.95634
5,68571.43018,56325.32479

Daily orders,priority_4
month,Old priority,New priority
1,28586.41935,22492.93548
2,27628.48276,21999.2069
3,29144.41935,24025.77419
4,27936.93333,23208.0
5,29297.74194,24458.58065

Exposure uv,priority_4
month,Old priority,New priority
1,116850965,101498873
2,107814491,94519374
3,119727461,106724298
4,109208107,95384764
5,119730040,105115091

Healthy stores,priority_4
month,Old priority,New priority
1,7479.548387,5900.483871
2,7897.965517,6245.62069
3,7909.967742,6274.322581
4,8292.066667,6461.5
5,8056.16129,6438.516129

Imperfect orders,priority_4
month,Old priority,New priority
1,18922.0,14849
2,16880.0,13233
3,19687.0,16128
4,17426.0,14081
5,19649.0,15960

Orders per eff online,priority_4
month,Old priority,New priority
1,3.1892315,3.175839641
2,2.937185423,2.945225147
3,3.102738103,3.227731311
4,2.859617038,3.043698743
5,3.066914749,3.194183019

Ted gmv,priority_4
month,Old priority,New priority
1,0.178028751,0.174394225
2,0.162972401,0.162145209
3,0.166884023,0.166448283
4,0.164718736,0.167922963
5,0.164883723,0.166602291

Bad rating rate,priority_4
month,Old priority,New priority
1,0.01820061184,0.01824945754
2,0.01783891187,0.0178219591
3,0.01867452077,0.01873391345
4,0.01799529416,0.01786452947
5,0.01944441386,0.01928078542

B cancel rate,priority_4
month,Old priority,New priority
1,0.02859372828,0.02806801857
2,0.02827039359,0.02780729115
3,0.02974616646,0.02891294307
4,0.02951604926,0.02646328534
5,0.03118064515,0.02910800345

B p1p2,priority_4
month,Old priority,New priority
1,0.008283508827,0.007490487111
2,0.008158244702,0.007395224602
3,0.008255240625,0.007616250612
4,0.008379377916,0.00792660136
5,0.00835198084,0.007902490424

Daily orders,priority_4
month,Old priority,New priority
1,28586.41935,22492.93548
2,27628.48276,21999.2069
3,29144.41935,24025.77419
4,27936.93333,23208.0
5,29297.74194,24458.58065

Exposure uv,priority_4
month,Old priority,New priority
1,116850965,101498873
2,107814491,94519374
3,119727461,106724298
4,109208107,95384764
5,119730040,105115091

Healthy stores,priority_4
month,Old priority,New priority
1,7479.548387,5900.483871
2,7897.965517,6245.62069
3,7909.967742,6274.322581
4,8292.066667,6461.5
5,8056.16129,6438.516129

Imperfect orders,priority_4
month,Old priority,New priority
1,18922.0,14849
2,16880.0,13233
3,19687.0,16128
4,17426.0,14081
5,19649.0,15960

Orders per eff online,priority_4
month,Old priority,New priority
1,3.1892315,3.175839641
2,2.937185423,2.945225147
3,3.102738103,3.227731311
4,2.859617038,3.043698743
5,3.066914749,3.194183019

Ted gmv,priority_4
month,Old priority,New priority
1,0.178028751,0.174394225
2,0.162972401,0.162145209
3,0.166884023,0.166448283
4,0.164718736,0.167922963
5,0.164883723,0.166602291

Bad rating rate,priority_4
month,Old priority,New priority
1,0.01820061184,0.01824945754
2,0.01783891187,0.0178219591
3,0.01867452077,0.01873391345
4,0.01799529416,0.01786452947
5,0.01944441386,0.01928078542

B cancel rate,priority_4
month,Old priority,New priority
1,0.02859372828,0.02806801857
2,0.02827039359,0.02780729115
3,0.02974616646,0.02891294307
4,0.02951604926,0.02646328534
5,0.03118064515,0.02910800345

B p1p2,priority_4
month,Old priority,New priority
1,0.008283508827,0.007490487111
2,0.008158244702,0.007395224602
3,0.008255240625,0.007616250612
4,0.008379377916,0.00792660136
5,0.00835198084,0.007902490424

Daily orders,priority_4
month,Old priority,New priority
1,28586.41935,22492.93548
2,27628.48276,21999.2069
3,29144.41935,24025.77419
4,27936.93333,23208.0
5,29297.74194,24458.58065

Exposure uv,priority_4
month,Old priority,New priority
1,116850965,101498873
2,107814491,94519374
3,119727461,106724298
4,109208107,95384764
5,119730040,105115091

Healthy stores,priority_4
month,Old priority,New priority
1,7479.548387,5900.483871
2,7897.965517,6245.62069
3,7909.967742,6274.322581
4,8292.066667,6461.5
5,8056.16129,6438.516129

Imperfect orders,priority_4
month,Old priority,New priority
1,18922.0,14849
2,16880.0,13233
3,19687.0,16128
4,17426.0,14081
5,19649.0,15960

Orders per eff online,priority_4
month,Old priority,New priority
1,3.1892315,3.175839641
2,2.937185423,2.945225147
3,3.102738103,3.227731311
4,2.859617038,3.043698743
5,3.066914749,3.194183019

Ted gmv,priority_4
month,Old priority,New priority
1,0.178028751,0.174394225
2,0.162972401,0.162145209
3,0.166884023,0.166448283
4,0.164718736,0.167922963
5,0.164883723,0.166602291




