priority,daily_orders,eff_online_rs,orders_per_eff_online,ted_gmv,b_p1p2,bad_rating_rate,imperfect_order_rate,b_cancel_rate
New Rs,103.86666666666666,57.23333333333333,1.8147932440302852,36.78%,0.84%,3.66%,3.66%,3.99%
Priority 1,1306.4666666666667,119.3,10.95110366024029,42.18%,1.71%,2.24%,2.19%,1.06%
Priority 2,576.5,240.4,2.3980865224625623,38.56%,0.96%,2.95%,2.69%,3.04%
Priority 3,72.53333333333333,85.56666666666666,0.847682119205298,32.94%,0.45%,2.99%,2.57%,2.99%
Priority 4,181.3,95.06666666666666,1.9070827489481064,33.74%,0.71%,2.94%,3.02%,3.07%
Priority 5,235.86666666666667,707.9666666666667,0.333160694947973,22.55%,0.21%,2.97%,2.85%,5.52%
