priority,daily_orders,eff_online_rs,orders_per_eff_online,ted_gmv,b_p1p2,bad_rating_rate,imperfect_order_rate,b_cancel_rate
New Rs,65.8,32.766666666666666,2.0081383519837237,27.29%,0.77%,2.84%,3.29%,5.40%
Priority 1,1185.9333333333334,83.93333333333334,14.129467831612391,30.87%,1.63%,2.08%,1.85%,0.73%
Priority 2,538.7333333333333,165.2,3.2610976594027443,23.67%,0.98%,2.56%,2.59%,2.60%
Priority 3,82.9,132.46666666666667,0.6258178158027177,23.18%,0.40%,2.85%,2.98%,4.61%
Priority 4,237.46666666666667,139.96666666666667,1.696594427244582,18.71%,0.58%,2.16%,2.32%,2.50%
Priority 5,145.66666666666666,413.1333333333333,0.352589962885267,13.73%,0.18%,2.84%,2.56%,8.51%
