priority,daily_orders,eff_online_rs,orders_per_eff_online,ted_gmv,b_p1p2,bad_rating_rate,imperfect_order_rate,b_cancel_rate
New Rs,4729.966666666666,1423.1666666666667,3.323550767068743,28.93%,0.81%,2.29%,2.50%,2.74%
Priority 1,54450.53333333333,3398.833333333333,16.020359927426078,26.24%,1.77%,1.62%,1.83%,0.81%
Priority 2,23201.4,4655.533333333334,4.9836180602294045,20.97%,1.22%,1.76%,1.99%,2.18%
Priority 3,1954.2666666666669,1688.4666666666667,1.1574209341809136,21.77%,0.50%,1.92%,2.25%,3.92%
Priority 4,21720.866666666665,7107.033333333334,3.0562494430399934,15.28%,0.77%,1.83%,1.99%,2.91%
Priority 5,5937.666666666667,7427.433333333333,0.7994237578705968,11.60%,0.19%,2.11%,2.25%,7.01%
