Daily orders,priority_4
month,Old priority,New priority
1,837.0,101.4516129032258
2,737.6896551724138,97.10344827586206
3,744.6774193548387,107.87096774193547
4,718.5333333333333,136.56666666666666
5,739.1290322580645,154.09677419354838
6,819.6333333333333,178.7
