Healthy stores,priority_4
month,Old priority,New priority
1,201.83870967741936,45.354838709677416
2,218.9655172413793,52.37931034482759
3,228.80645161290323,57.12903225806452
4,244.5,65.8
5,236.1935483870968,73.83870967741936
6,227.86666666666667,77.66666666666667
