Ted gmv,priority_4
month,Old priority,New priority
1,0.411099491,0.3624733018846605
2,0.380723416,0.3493831144387336
3,0.374892019,0.3512056302348655
4,0.362947938,0.3253662807979099
5,0.373899834,0.3234923435143957
6,0.389726929,0.3375986627639225
