B2c per order,priority_4
month,Old priority,New priority
1,3.199579912899,1.4047217806041337
2,2.507361753845,1.2008913352272728
3,2.892395061728,1.7094377990430625
4,2.168886156986,1.0661898950451547
5,1.84849517741,0.578214360477287
6,2.031365244622,0.2895150158552508
