B cancel rate,Old_2_vs_New_1
month,Old priority,New priority
1,0.01068729754,0.008842408198
2,0.009954882592,0.008027147153
3,0.01054729086,0.008353839171
4,0.009926179423,0.008213510463
5,0.01060570722,0.008758194932
