Ted gmv,Old_2_vs_New_1
month,Old priority,New priority
1,0.243376662,0.255739618
2,0.226159006,0.239886236
3,0.238305064,0.253097124
4,0.261551709,0.275063907
5,0.24719643,0.261120078
