B2c total burn,priority_4
month,Old priority,New priority
1,5572358.86,3073837.45
2,6049898.13,4400404.13
3,6595869.37,4826959.09
4,4376149.06,1510527.35
5,2926662.72,1588270.77
6,2748392.67,408258.28
