Ted,priority_4
month,Old priority,New priority
1,41888051.25,23633172.75
2,36311269.09,24716819.71
3,42434147.62,35244287.97
4,34936466.48,28773565.11
5,37398501.99,32770378.63
6,35328549.09,25923694.56
