Total p2c burn,priority_4
month,Old priority,New priority
1,12393016.69,7047379.88
2,8552983.88,5774875.83
3,9775256.8,8121013.33
4,8808368.51,7734241.22
5,9415739.75,8214797.16
6,9013152.61,7213866.77
