R burn gmv,priority_4
month,Old priority,New priority
1,0.100659299,0.106718714
2,0.099209661,0.096213303
3,0.105498261,0.107059462
4,0.104843515,0.108395725
5,0.11008037,0.116484417
6,0.110803369,0.107894191
