Daily orders,priority_4
month,Old priority,New priority
1,31370.225806451617,21374.76
2,30447.48275862069,20324.62068965517
3,31594.548387096773,25839.451612903227
4,27860.266666666663,23512.366666666665
5,29036.16129032258,24418.967741935485
6,27970.43333333333,21720.866666666665
