R burn,priority_4
month,Old priority,New priority
1,23922675.7,13511955.42
2,21708387.08,14541521.75
3,26063021.45,22296315.55
4,21751948.91,19528796.54
5,25056099.52,22967310.7
6,23567003.81,18301569.51
