Ted gmv,priority_4
month,Old priority,New priority
1,0.176252103,0.186657055
2,0.165946401,0.16353769
3,0.171765534,0.169231303
4,0.168392357,0.159709352
5,0.164304941,0.166203109
6,0.166101822,0.1528293
