P2c gmv,priority_4
month,Old priority,New priority
1,0.05214602,0.05566088
2,0.03908806,0.0382092
3,0.03956842,0.03899439
4,0.04245598,0.04292936
5,0.0413667,0.04166338
6,0.04237652,0.04252828
