P2c burn per order,priority_4
month,Old priority,New priority
1,12.743763286947,13.188227385945
2,9.686530770337,9.797656367171
3,9.980546664339,10.138302308423
4,10.538746350837,10.96478480119
5,10.460526695855,10.851951629352
6,10.741285869722,11.070563129771
