Total p2c burn,Old_1_vs_New_Rs
month,Old priority,New priority
1,344573.0,344573.0
2,439737.0,439737.0
3,550696.0,550696.0
4,527596.0,527596.0
5,870766.0,870766.0
6,1096517.0,1096517.0
