P2c gmv,Old_1_vs_New_Rs
month,Old priority,New priority
1,0.05051398,0.05051398
2,0.05256655,0.05256655
3,0.04465035,0.04465035
4,0.05270309,0.05270309
5,0.05998694,0.05998694
6,0.0675785,0.0675785
