R burn,priority_5
month,Old priority,New priority
1,215674995.0,203164901.0
2,169205606.0,171709659.0
3,193132305.0,190900701.0
4,127563700.0,100337704.0
5,167527700.0,103611138.0
6,222593770.0,142787276.0
