Daily orders,priority_5
month,Old priority,New priority
1,1296.967741935484,1217.225806451613
2,1154.448275862069,1086.2758620689656
3,1155.645161290323,1055.0
4,813.1666666666666,696.2333333333333
5,909.7096774193548,691.0967741935484
6,1054.0666666666666,811.6333333333333
