B2c total burn,priority_5
month,Old priority,New priority
1,40089570.0,25046230.0
2,70891266.0,49770058.0
3,74136759.0,48427854.0
4,15911059.0,6870098.0
5,19989222.0,3234139.0
6,22885693.0,1802851.0
