B p1p2,priority_5
month,Old priority,New priority
1,0.0024450167917911,0.0026105337229214
2,0.0025050089125334,0.0026634094224155
3,0.0021511529946271,0.002284851120085
4,0.0018579153950386,0.0018816611718912
5,0.0020838310871036,0.0018856304794901
6,0.0021616157823703,0.0019510452811949
