R burn per order,priority_5
month,Old priority,New priority
1,5364.248992687659,5384.133699051254
2,5054.081842348935,5450.754206082153
3,5390.992463363573,5837.049411404984
4,5229.092027054724,4803.835112749557
5,5940.487925960072,4836.218166542196
6,7039.205932578585,5864.194669185593
