B2c per order,priority_5
month,Old priority,New priority
1,997.104163557678,663.757619123337
2,2117.484572418531,1579.9015300615831
3,2069.414068387997,1480.7477144167558
4,652.226234884198,328.9174127447695
5,708.812524378568,150.95869118745333
6,723.726930617924,74.04209618464824
