Ted,priority_5
month,Old priority,New priority
1,457796575.0,416242622.0
2,404743030.0,376239464.0
3,437069799.0,394389390.0
4,258329829.0,205872421.0
5,306558708.0,197760088.0
6,383475210.0,253495508.0
