B cancel rate,priority_5
month,Old priority,New priority
1,0.0844298963447899,0.0796136534133533
2,0.0843044619422572,0.0791348743267504
3,0.0878821756671365,0.084790233193221
4,0.0871798480157613,0.0920611560788161
5,0.0761011368577996,0.0867869920006431
6,0.0736554841910852,0.0823267641449459
