Ted gmv,priority_5
month,Old priority,New priority
1,0.24874798,0.2276446774016483
2,0.273496313,0.2597666645097432
3,0.269799008,0.2691618309323615
4,0.236754671,0.220797088945541
5,0.244236093,0.2066310514204162
6,0.266686723,0.2271303639015643
