P2c gmv,priority_4
month,Old priority,New priority
1,0.04613063,0.05226878
2,0.04787895,0.04968291
3,0.04439851,0.04547656
4,0.04405195,0.04658898
5,0.04930758,0.05346673
6,0.05664553,0.05801248
