Total p2c burn,priority_4
month,Old priority,New priority
1,8889502.0,4005393.0
2,8410188.0,3786127.0
3,8215881.0,3829149.0
4,7239695.0,3534165.0
5,8587355.0,3592226.0
6,9253069.0,3519882.0
