P2c burn per order,priority_4
month,Old priority,New priority
1,372.960016782043,408.047371638142
2,402.844661589309,438.767759879476
3,377.221349862259,404.473328403929
4,367.553180687414,392.162117177097
5,415.49037158893,449.365273955467
6,482.710052689238,494.087871982033
