Tri per order,Priority 1
month,Priority
1,1715.0135440180586
2,1410.8827586206896
3,1627.767483051365
4,1546.3756557354056
5,1567.528866601906
6,1555.568216313452
7,1523.2291796469367
8,1546.0095455999212
9,1525.7298614674191
