P2c burn per order,Priority 1
month,Priority
1,382.5304740406321
2,356.2758620689655
3,343.8444084773713
4,348.0455017252504
5,393.7358554963376
6,433.01349148350096
7,345.2582294911734
8,331.64049007306807
9,390.9737301180092
